symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
IF99,CFFEX,2024-10-08 00:00:00,4544.59518,4544.59518,4188.217263,4263.687184,405705.0,531276106680.0,290220.0
IF99,CFFEX,2024-10-09 00:00:00,4197.526765,4231.676609,3915.595386,3929.881887,394405.0,482966651880.0,299684.0
IF99,CFFEX,2024-10-10 00:00:00,4009.162161,4122.498836,3938.258226,4011.238886,289085.0,349844575920.0,295239.0
IF99,CFFEX,2024-10-11 00:00:00,3997.120525,4002.926871,3844.023043,3904.036016,248577.0,293215344540.0,298150.0
IF99,CFFEX,2024-10-14 00:00:00,3922.5778,3986.468592,3870.59795,3962.094679,214684.0,253292824380.0,292902.0
IF99,CFFEX,2024-10-15 00:00:00,3939.530824,3969.361443,3847.603374,3849.470146,189590.0,222897594480.0,284685.0
IF99,CFFEX,2024-10-16 00:00:00,3809.608815,3888.59487,3801.946833,3833.058856,205527.0,236719267380.0,293052.0
IF99,CFFEX,2024-10-17 00:00:00,3860.846851,3888.894205,3779.146794,3780.207382,201640.0,231950379360.0,279965.0
IF99,CFFEX,2024-10-18 00:00:00,3790.621334,4073.382122,3771.052795,3932.739441,322799.0,375920767800.0,293096.0
IF99,CFFEX,2024-10-21 00:00:00,3952.984752,3985.646441,3909.170521,3941.252702,195316.0,231250029180.0,278172.0
IF99,CFFEX,2024-10-22 00:00:00,3930.267684,3975.161446,3927.326651,3967.427296,150764.0,178766813760.0,273862.0
IF99,CFFEX,2024-10-23 00:00:00,3963.851354,4024.096013,3948.235083,3981.581953,176710.0,211115385840.0,277181.0
IF99,CFFEX,2024-10-24 00:00:00,3960.896499,3969.670765,3915.220397,3935.330704,128583.0,151995815520.0,263998.0
IF99,CFFEX,2024-10-25 00:00:00,3941.390754,4004.267594,3928.588687,3958.586044,157182.0,186787319520.0,274027.0
IF99,CFFEX,2024-10-28 00:00:00,3959.543158,3971.734014,3924.315418,3971.171184,121412.0,143915917080.0,261741.0
IF99,CFFEX,2024-10-29 00:00:00,3982.275437,4006.70411,3924.86995,3938.36997,146393.0,173852807040.0,273754.0
IF99,CFFEX,2024-10-30 00:00:00,3929.276629,3938.309949,3870.671864,3896.000757,142384.0,166750581360.0,267506.0
IF99,CFFEX,2024-10-31 00:00:00,3898.796984,3932.988444,3861.659488,3891.128546,176181.0,205932178020.0,286443.0
